"Power station","# Units","Net Capacity (MWe)","Country","Location","Refs"
"Laguna Verde Nuclear Power Station","2","1,300","Mexico","19°43′15″N 96°24′23″W﻿ / ﻿19.72083°N 96.40639°W﻿ / 19.72083; -96.40639﻿ (Laguna Verde Nuclear Power Station)",""
"LaSalle County Nuclear Generating Station","2","2,238","United States","41°14′44″N 88°40′9″W﻿ / ﻿41.24556°N 88.66917°W﻿ / 41.24556; -88.66917﻿ (LaSalle County Nuclear Generating Station)",""
"Leibstadt Nuclear Power Plant","1","1,190","Switzerland","47°36′11″N 08°11′05″E﻿ / ﻿47.60306°N 8.18472°E﻿ / 47.60306; 8.18472﻿ (Leibstadt Nuclear Power Station)",""
"Lemoniz Nuclear Power Plant","2","1,800","Spain","43°26′00″N 02°52′21″W﻿ / ﻿43.43333°N 2.87250°W﻿ / 43.43333; -2.87250﻿ (Lemoniz Nuclear Power Station)",""
"Leningrad Nuclear Power Plant","4","3,700","Russia","59°50′50″N 29°02′37″E﻿ / ﻿59.84722°N 29.04361°E﻿ / 59.84722; 29.04361﻿ (Leningrad Nuclear Power Station)",""
"Limerick Nuclear Power Plant","2","2,264","United States","40°13′36″N 75°35′14″W﻿ / ﻿40.22667°N 75.58722°W﻿ / 40.22667; -75.58722﻿ (Limerick Nuclear Power Plant)",""
"Ling Ao Nuclear Power Plant","4","3,876","China","22°36′17″N 114°33′5″E﻿ / ﻿22.60472°N 114.55139°E﻿ / 22.60472; 114.55139﻿ (Ling Ao Nuclear Power Plant)",""
"McGuire Nuclear Station","2","2,200","United States","35°25′57″N 80°56′54″W﻿ / ﻿35.43250°N 80.94833°W﻿ / 35.43250; -80.94833﻿ (McGuire Nuclear Station)",""
"Maanshan Nuclear Power Plant","2","1,841","Taiwan","21°57′29″N 120°45′6″E﻿ / ﻿21.95806°N 120.75167°E﻿ / 21.95806; 120.75167﻿ (Maanshan Nuclear Power Plant)",""
"Millstone Nuclear Power Plant","2","2,102[note 21]","United States","41°18′43″N 72°10′07″W﻿ / ﻿41.31194°N 72.16861°W﻿ / 41.31194; -72.16861﻿ (Millstone Nuclear Power Station)",""
"Neckarwestheim Nuclear Power Plant","2","1,310[note 22]","Germany","49°02′30″N 09°10′30″E﻿ / ﻿49.04167°N 9.17500°E﻿ / 49.04167; 9.17500﻿ (Neckarwestheim Nuclear Power Station)",""
"Nine Mile Point Nuclear Generating Station","2","1,764","United States","43°31′15″N 76°24′25″W﻿ / ﻿43.52083°N 76.40694°W﻿ / 43.52083; -76.40694﻿ (Nine Mile Point Nuclear Power Station)",""
"Ningde Nuclear Power Plant","3","3,054[note 23]","China","27°02′46″N 120°17′18″E﻿ / ﻿27.04611°N 120.28833°E﻿ / 27.04611; 120.28833﻿ (Ningde Nuclear Power Plant)",""
"Nogent Nuclear Power Plant","2","2,620","France","48°30′55″N 03°31′04″E﻿ / ﻿48.51528°N 3.51778°E﻿ / 48.51528; 3.51778﻿ (Nogent Nuclear Power Station)",""
"North Anna Nuclear Generating Station","2","1,875","United States","38°03′38″N 77°47′22″W﻿ / ﻿38.06056°N 77.78944°W﻿ / 38.06056; -77.78944﻿ (North Anna Nuclear Power Station)",""
"Novovoronezhskaya Nuclear Power Plant","3","1,720[note 24]","Russia","51°16′30″N 39°12′00″E﻿ / ﻿51.27500°N 39.20000°E﻿ / 51.27500; 39.20000﻿ (Novovoronezhskaya Nuclear Power Station)",""
"Oconee Nuclear Generating Station","3","2,538","United States","34°47′38″N 82°53′53″W﻿ / ﻿34.79389°N 82.89806°W﻿ / 34.79389; -82.89806﻿ (Oconee Nuclear Power Station)",""
"Ōi Nuclear Power Plant","4","4,494","Japan","35°32′26″N 135°39′07″E﻿ / ﻿35.54056°N 135.65194°E﻿ / 35.54056; 135.65194﻿ (Ōi Nuclear Power Station)",""
"Olkiluoto Nuclear Power Plant","2","1,740[note 25]","Finland","61°14′13″N 21°26′27″E﻿ / ﻿61.23694°N 21.44083°E﻿ / 61.23694; 21.44083﻿ (Olkiluoto Nuclear Power Station)",""
"Onagawa Nuclear Power Plant","3","2,089","Japan","38°24′04″N 141°29′59″E﻿ / ﻿38.40111°N 141.49972°E﻿ / 38.40111; 141.49972﻿ (Onagawa Nuclear Power Station)",""
"Oskarshamn Nuclear Power Plant","3","2,511","Sweden","57°24′56″N 16°40′16″E﻿ / ﻿57.41556°N 16.67111°E﻿ / 57.41556; 16.67111﻿ (Oskarshamn Nuclear Power Station)",""
"Paks Nuclear Power Plant","4","1,889","Hungary","46°34′21″N 18°51′15″E﻿ / ﻿46.57250°N 18.85417°E﻿ / 46.57250; 18.85417﻿ (Paks Nuclear Power Station)",""
"Palo Verde Nuclear Generating Station","3","4,214","United States","33°23′21″N 112°51′54″W﻿ / ﻿33.38917°N 112.86500°W﻿ / 33.38917; -112.86500﻿ (Palo Verde Nuclear Power Station)",""
"Paluel Nuclear Power Plant","4","5,320","France","49°51′29″N 00°38′08″E﻿ / ﻿49.85806°N 0.63556°E﻿ / 49.85806; 0.63556﻿ (Paluel Nuclear Power Plant)",""
"Penly Nuclear Power Plant","2","2,660","France","49°58′36″N 01°12′43″E﻿ / ﻿49.97667°N 1.21194°E﻿ / 49.97667; 1.21194﻿ (Penly Nuclear Power Station)",""
"Peach Bottom Nuclear Generating Station","2","2,234[note 26]","United States","39°45′30″N 76°16′05″W﻿ / ﻿39.75833°N 76.26806°W﻿ / 39.75833; -76.26806﻿ (Peach Bottom Nuclear Generating Station)",""
"Perry Nuclear Generating Station","1","1,240","United States","41°48′03″N 81°08′36″W﻿ / ﻿41.80083°N 81.14333°W﻿ / 41.80083; -81.14333﻿ (Perry Nuclear Power Station)",""
"Philippsburg Nuclear Power Plant","2","1,402[note 27]","Germany","49°15′09″N 08°26′11″E﻿ / ﻿49.25250°N 8.43639°E﻿ / 49.25250; 8.43639﻿ (Philippsburg Nuclear Power Station)",""
